Id,output
1,41.879
2,28.141666666666662
3,41.879
4,38.02333333333333
5,31.095
6,40.831999999999994
7,34.123333333333335
8,38.02333333333333
9,31.86888888888889
10,41.879
11,44.53916666666667
12,31.86888888888889
13,40.831999999999994
14,38.02333333333333
15,33.974999999999994
16,40.831999999999994
17,33.4325
18,38.02333333333333
19,40.831999999999994
20,40.831999999999994
21,36.63777777777778
22,40.831999999999994
23,40.831999999999994
24,40.831999999999994
25,41.879
26,33.68666666666667
27,36.63777777777778
28,33.89833333333333
29,38.02333333333333
30,44.53916666666667
31,31.095
32,30.231666666666666
33,41.879
34,26.867222222222225
35,38.02333333333333
36,40.831999999999994
37,40.831999999999994
38,31.095
39,40.831999999999994
40,40.831999999999994
41,40.831999999999994
42,44.53916666666667
43,34.123333333333335
44,40.831999999999994
45,38.02333333333333
46,38.02333333333333
47,40.831999999999994
48,40.831999999999994
49,40.831999999999994
50,33.68666666666667
51,38.02333333333333
52,44.53916666666667
53,28.141666666666662
54,33.4325
55,28.141666666666662
56,33.974999999999994
57,41.879
58,44.53916666666667
59,29.484444444444446
60,36.63777777777778
61,33.974999999999994
62,41.61000000000001
63,38.02333333333333
64,38.02333333333333
65,31.095
66,40.831999999999994
67,40.831999999999994
68,33.4325
69,40.831999999999994
70,29.484444444444446
71,44.53916666666667
72,31.095
73,41.61000000000001
74,31.86888888888889
75,33.4325
76,38.02333333333333
77,41.879
78,33.89833333333333
79,40.831999999999994
80,33.68666666666667
81,28.141666666666662
82,38.02333333333333
83,41.879
84,33.974999999999994
85,40.831999999999994
86,41.61000000000001
87,40.831999999999994
88,40.831999999999994
89,37.55428571428571
90,33.4325
91,26.867222222222225
92,40.831999999999994
93,34.123333333333335
94,33.4325
95,33.4325
96,44.53916666666667
97,31.86888888888889
98,38.02333333333333
99,40.831999999999994
100,41.879
101,38.02333333333333
102,40.831999999999994
103,40.831999999999994
104,40.831999999999994
105,34.123333333333335
106,36.63777777777778
107,37.55428571428571
108,41.61000000000001
109,31.095
110,40.831999999999994
111,40.831999999999994
112,40.831999999999994
113,38.02333333333333
114,44.53916666666667
115,41.879
116,38.02333333333333
117,31.095
118,40.831999999999994
119,33.4325
120,44.53916666666667
121,40.831999999999994
122,40.831999999999994
123,38.02333333333333
124,40.831999999999994
125,40.831999999999994
126,38.02333333333333
127,31.86888888888889
128,33.974999999999994
129,34.123333333333335
130,33.4325
131,41.879
132,31.095
133,33.4325
134,40.831999999999994
135,28.141666666666662
136,31.86888888888889
137,29.484444444444446
138,33.4325
139,33.4325
140,40.831999999999994
141,33.4325
142,37.55428571428571
143,38.02333333333333
144,33.974999999999994
145,38.02333333333333
146,33.4325
147,33.4325
148,40.831999999999994
149,40.831999999999994
150,30.231666666666666
151,44.53916666666667
152,41.879
153,41.61000000000001
154,28.141666666666662
155,41.61000000000001
156,41.61000000000001
157,31.095
158,40.831999999999994
159,38.02333333333333
160,31.86888888888889
161,40.831999999999994
162,38.02333333333333
163,33.89833333333333
164,33.4325
165,31.095
166,38.02333333333333
167,33.68666666666667
168,40.831999999999994
169,40.831999999999994
170,36.63777777777778
171,40.831999999999994
172,29.484444444444446
173,34.123333333333335
174,44.53916666666667
175,31.86888888888889
176,33.89833333333333
177,38.02333333333333
178,36.63777777777778
179,33.4325
180,40.831999999999994
181,44.53916666666667
182,33.89833333333333
183,31.095
184,37.55428571428571
185,31.095
186,40.831999999999994
187,36.63777777777778
188,41.61000000000001
189,40.831999999999994
190,33.4325
191,40.831999999999994
192,36.63777777777778
